,tradeTime,price
4444,2014-08-01,33230.5
4445,2014-08-02,35213.6
4446,2014-08-03,33745.7
4447,2014-08-04,36208.1
4448,2014-08-05,36197.0
4449,2014-08-06,36765.6
4450,2014-08-07,33277.9
4451,2014-08-08,34319.7
4452,2014-08-09,35960.9
4453,2014-08-10,33790.2
4454,2014-08-11,35093.1
4455,2014-08-12,37930.3
4456,2014-08-13,36471.5
4457,2014-08-14,38059.5
4458,2014-08-15,34119.6
4459,2014-08-16,35817.2
4460,2014-08-17,34808.5
4461,2014-08-18,36092.1
4462,2014-08-19,36500.6
4463,2014-08-20,34943.0
4464,2014-08-21,35211.6
4465,2014-08-22,33354.3
4466,2014-08-23,33096.6
4467,2014-08-24,36079.8
4468,2014-08-25,34667.2
4469,2014-08-26,34753.2
4470,2014-08-27,31934.3
4471,2014-08-28,39415.0
4472,2014-08-29,32770.0
4473,2014-08-30,35726.3
4474,2014-08-31,35226.4
4475,2014-09-01,35244.4
4476,2014-09-02,30678.3
4477,2014-09-03,36165.5
4478,2014-09-04,33998.4
4479,2014-09-05,32270.9
4480,2014-09-06,34704.4
4481,2014-09-07,35071.3
4482,2014-09-08,33309.7
4483,2014-09-09,35938.0
4484,2014-09-10,37353.4
4485,2014-09-11,33682.6
4486,2014-09-12,34574.9
4487,2014-09-13,33752.3
4488,2014-09-14,34566.4
4489,2014-09-15,37713.5
4490,2014-09-16,33985.0
4491,2014-09-17,34988.6
4492,2014-09-18,34741.3
4493,2014-09-19,34241.8
4494,2014-09-20,34196.1
4495,2014-09-21,34539.7
4496,2014-09-22,36784.1
4497,2014-09-23,34664.5
4498,2014-09-24,34191.6
4499,2014-09-25,36286.3
4500,2014-09-26,35369.8
4501,2014-09-27,34559.2
4502,2014-09-28,35533.1
4503,2014-09-29,37057.1
4504,2014-09-30,36384.0
4505,2014-10-01,37362.5
4506,2014-10-02,37538.6
4507,2014-10-03,34473.7
4508,2014-10-04,37038.2
4509,2014-10-05,35381.4
4510,2014-10-06,35671.7
4511,2014-10-07,38916.0
4512,2014-10-08,38200.9
4513,2014-10-09,37988.7
4514,2014-10-10,37701.3
4515,2014-10-11,37491.9
4516,2014-10-12,36842.7
4517,2014-10-13,38600.1
4518,2014-10-14,36336.6
4519,2014-10-15,39127.3
4520,2014-10-16,40774.6
4521,2014-10-17,38572.3
4522,2014-10-18,37700.2
4523,2014-10-19,36622.6
4524,2014-10-20,38521.0
4525,2014-10-21,37899.0
4526,2014-10-22,37089.0
4527,2014-10-23,36115.7
4528,2014-10-24,37249.8
4529,2014-10-25,37421.0
4530,2014-10-26,36369.5
4531,2014-10-27,38252.8
4532,2014-10-28,39241.1
4533,2014-10-29,36038.8
4534,2014-10-30,38532.7
4535,2014-10-31,37833.1
4536,2014-11-01,36014.6
4537,2014-11-02,35803.5
4538,2014-11-03,39538.0
4539,2014-11-04,36022.3
4540,2014-11-05,39175.0
4541,2014-11-06,36890.6
4542,2014-11-07,34662.1
4543,2014-11-08,36045.2
4544,2014-11-09,34826.5
4545,2014-11-10,37102.3
4546,2014-11-11,37214.8
4547,2014-11-12,36788.3
4548,2014-11-13,38929.8
4549,2014-11-14,39741.0
4550,2014-11-15,37705.2
4551,2014-11-16,36303.2
4552,2014-11-17,37080.9
4553,2014-11-18,36238.4
4554,2014-11-19,39552.1
4555,2014-11-20,40152.0
4556,2014-11-21,34473.3
4557,2014-11-22,35155.0
4558,2014-11-23,35848.3
4559,2014-11-24,36711.1
4560,2014-11-25,36058.0
4561,2014-11-26,37209.8
4562,2014-11-27,37637.2
4563,2014-11-28,40338.7
4564,2014-11-29,36229.2
4565,2014-11-30,37555.9
4566,2014-12-01,36195.0
4567,2014-12-02,35990.0
4568,2014-12-03,41478.9
4569,2014-12-04,37371.0
4570,2014-12-05,38316.3
4571,2014-12-06,36440.1
4572,2014-12-07,37772.0
4573,2014-12-08,39085.6
4574,2014-12-09,36030.8
4575,2014-12-10,36969.2
4576,2014-12-11,39616.2
4577,2014-12-12,40550.5
4578,2014-12-13,37042.0
4579,2014-12-14,37849.5
4580,2014-12-15,37036.0
4581,2014-12-16,38646.7
4582,2014-12-17,38114.1
4583,2014-12-18,37648.4
4584,2014-12-19,39677.5
4585,2014-12-20,34657.6
4586,2014-12-21,36458.8
4587,2014-12-22,38566.5
4588,2014-12-23,38151.0
4589,2014-12-24,37077.5
4590,2014-12-25,38424.9
4591,2014-12-26,34510.9
4592,2014-12-27,36247.2
4593,2014-12-28,36231.8
4594,2014-12-29,38109.9
4595,2014-12-30,34588.6
4596,2014-12-31,37067.9
4597,2015-01-01,33299.0
4598,2015-01-02,36809.7
4599,2015-01-03,36113.1
4600,2015-01-04,40457.1
4601,2015-01-05,38038.5
4602,2015-01-06,38418.0
4603,2015-01-07,38925.6
4604,2015-01-08,39173.2
4605,2015-01-09,36588.4
4606,2015-01-10,35805.0
4607,2015-01-11,35764.6
4608,2015-01-12,37797.1
4609,2015-01-13,35881.4
4610,2015-01-14,37184.5
4611,2015-01-15,39158.1
4612,2015-01-16,37325.8
4613,2015-01-17,35927.7
4614,2015-01-18,35748.1
4615,2015-01-19,40053.9
4616,2015-01-20,38788.7
4617,2015-01-21,38587.7
4618,2015-01-22,38397.9
4619,2015-01-23,39248.9
4620,2015-01-24,37378.6
4621,2015-01-25,36280.3
4622,2015-01-26,39367.7
4623,2015-01-27,37452.7
4624,2015-01-28,40448.3
4625,2015-01-29,34513.5
4626,2015-01-30,35267.6
4627,2015-01-31,36420.4
4628,2015-02-01,37901.4
4629,2015-02-02,38362.9
4630,2015-02-03,38575.9
4631,2015-02-04,37869.7
4632,2015-02-05,34574.7
4633,2015-02-06,37340.5
4634,2015-02-07,36337.7
4635,2015-02-08,38397.9
4636,2015-02-09,37072.4
4637,2015-02-10,37100.4
4638,2015-02-11,37518.4
4639,2015-02-12,36139.8
4640,2015-02-13,37326.0
4641,2015-02-14,37271.1
4642,2015-02-15,36669.3
4643,2015-02-16,38403.3
4644,2015-02-17,34925.2
4645,2015-02-18,38328.5
4646,2015-02-19,41731.8
4647,2015-02-20,45135.1
4648,2015-02-21,48538.4
4649,2015-02-22,51941.7
4650,2015-02-23,55345.0
4651,2015-02-24,58748.2
4652,2015-02-25,40366.3
4653,2015-02-26,34472.8
4654,2015-02-27,36777.8
4655,2015-02-28,37922.0
4656,2015-03-01,34918.0
4657,2015-03-02,37890.4
4658,2015-03-03,37189.8
4659,2015-03-04,36178.9
4660,2015-03-05,35501.9
4661,2015-03-06,35144.5
4662,2015-03-07,35948.4
4663,2015-03-08,35885.9
4664,2015-03-09,37274.0
4665,2015-03-10,38231.7
4666,2015-03-11,38511.1
4667,2015-03-12,35527.6
4668,2015-03-13,39924.3
4669,2015-03-14,35407.3
4670,2015-03-15,35747.8
4671,2015-03-16,39459.5
4672,2015-03-17,36619.6
4673,2015-03-18,38240.8
4674,2015-03-19,37358.5
4675,2015-03-20,38359.4
4676,2015-03-21,36645.3
4677,2015-03-22,36335.1
4678,2015-03-23,38732.8
4679,2015-03-24,38629.8
4680,2015-03-25,39162.3
4681,2015-03-26,37819.8
4682,2015-03-27,36683.0
4683,2015-03-28,36783.1
4684,2015-03-29,37449.5
4685,2015-03-30,38729.0
4686,2015-03-31,38418.4
4687,2015-04-01,37877.0
4688,2015-04-02,38902.0
4689,2015-04-03,39389.0
4690,2015-04-04,38009.1
4691,2015-04-05,36668.3
4692,2015-04-06,37193.0
4693,2015-04-07,38218.5
4694,2015-04-08,39538.0
4695,2015-04-09,37877.2
4696,2015-04-10,37703.4
4697,2015-04-11,36923.2
4698,2015-04-12,37970.8
4699,2015-04-13,38297.9
4700,2015-04-14,37668.4
4701,2015-04-15,39906.9
4702,2015-04-16,36961.3
4703,2015-04-17,36928.5
4704,2015-04-18,38215.5
4705,2015-04-19,37163.7
4706,2015-04-20,38406.9
4707,2015-04-21,39231.7
4708,2015-04-22,40808.3
4709,2015-04-23,36734.8
4710,2015-04-24,38279.9
4711,2015-04-25,39251.7
4712,2015-04-26,38368.1
4713,2015-04-27,39544.4
4714,2015-04-28,38932.4
4715,2015-04-29,37257.8
4716,2015-04-30,39553.9
4717,2015-05-01,38501.4
4718,2015-05-02,36605.0
4719,2015-05-03,36848.5
4720,2015-05-04,39961.1
4721,2015-05-05,41424.4
4722,2015-05-06,39655.7
4723,2015-05-07,39505.9
4724,2015-05-08,38854.9
4725,2015-05-09,38623.8
4726,2015-05-10,37273.4
4727,2015-05-11,39255.8
4728,2015-05-12,39039.9
4729,2015-05-13,40238.6
4730,2015-05-14,39667.8
4731,2015-05-15,40347.0
4732,2015-05-16,37344.8
4733,2015-05-17,38829.4
4734,2015-05-18,43909.5
4735,2015-05-19,40978.9
4736,2015-05-20,41429.2
4737,2015-05-21,40165.7
4738,2015-05-22,41362.1
4739,2015-05-23,40239.2
4740,2015-05-24,38134.7
4741,2015-05-25,41531.3
4742,2015-05-26,39878.7
4743,2015-05-27,39285.5
4744,2015-05-28,39583.6
4745,2015-05-29,39184.2
4746,2015-05-30,38708.6
4747,2015-05-31,37504.1
4748,2015-06-01,37669.9
4749,2015-06-02,39440.3
4750,2015-06-03,39480.5
4751,2015-06-04,36374.8
4752,2015-06-05,40095.5
4753,2015-06-06,36962.0
4754,2015-06-07,37602.8
4755,2015-06-08,41675.3
4756,2015-06-09,38087.6
4757,2015-06-10,39178.7
4758,2015-06-11,37167.0
4759,2015-06-12,36063.5
4760,2015-06-13,37570.5
4761,2015-06-14,37320.8
4762,2015-06-15,39236.2
4763,2015-06-16,39070.2
4764,2015-06-17,38849.7
4765,2015-06-18,36949.5
4766,2015-06-19,37907.5
4767,2015-06-20,37659.2
4768,2015-06-21,36608.4
4769,2015-06-22,37155.8
4770,2015-06-23,38968.3
4771,2015-06-24,37275.7
4772,2015-06-25,37476.9
4773,2015-06-26,38292.8
4774,2015-06-27,36856.3
